Gene	MYC_RNA
A673_BONE	5.726365465
AU565_BREAST	5.69930694
COLO201_LARGE_INTESTINE	3.504101036
CAPAN1_PANCREAS	6.502131805
NCIH1563_LUNG	4.369215258
NCIH358_LUNG	3.398297477
CFPAC1_PANCREAS	5.741246215
NIHOVCAR3_OVARY	3.780928579
NCIH1650_LUNG	3.901917468
NCIH1793_LUNG	5.699895621
NCIH1437_LUNG	5.662880214
KNS62_LUNG	5.773528308
HS578T_BREAST	4.912304619
BT20_BREAST	4.538534242
SNU182_LIVER	4.573785504
SKNMC_BONE	6.954698723
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.129437105
FADU_UPPER_AERODIGESTIVE_TRACT	5.807711324
SJRH30_SOFT_TISSUE	
MDAMB361_BREAST	3.407287476
MDAMB436_BREAST	5.725125738
PANC0213_PANCREAS	5.269747641
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.776915297
RDES_BONE	6.155613012
CAL27_UPPER_AERODIGESTIVE_TRACT	6.016533557
MESSA_SOFT_TISSUE	6.118374463
SW1271_LUNG	5.232246124
NCIH1792_LUNG	7.364527977
GCT_SOFT_TISSUE	3.671170119
SKBR3_BREAST	5.724584941
SNU16_STOMACH	8.067766027
NCIH82_LUNG	8.699378327
NCIN87_STOMACH	6.457551217
U2OS_BONE	3.729345973
H4_CENTRAL_NERVOUS_SYSTEM	3.183600856
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.846223689
HCC1143_BREAST	6.492780801
T24_URINARY_TRACT	4.734870942
G401_SOFT_TISSUE	4.793943286
HCC1937_BREAST	4.714624315
HCC1569_BREAST	6.013701938
OCUM1_STOMACH	6.574569276
SAOS2_BONE	5.279169884
D283MED_CENTRAL_NERVOUS_SYSTEM	8.532785851
SCC9_UPPER_AERODIGESTIVE_TRACT	6.787181503
HCC1395_BREAST	5.361710904
NMCG1_CENTRAL_NERVOUS_SYSTEM	3.309443185
TEN_ENDOMETRIUM	5.618864125
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
TE9_OESOPHAGUS	5.786761874
KNS42_CENTRAL_NERVOUS_SYSTEM	1.59254566
KYSE520_OESOPHAGUS	4.215841049
KYSE270_OESOPHAGUS	5.832059238
JHUEM1_ENDOMETRIUM	4.930972433
YH13_CENTRAL_NERVOUS_SYSTEM	3.718158345
IALM_LUNG	6.395500796
NCIH2052_PLEURA	6.007189676
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SKNFI_AUTONOMIC_GANGLIA	-0.267530703
SKNAS_AUTONOMIC_GANGLIA	4.414844565
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.142305285
SNU398_LIVER	6.451970827
SNU423_LIVER	5.154757087
SCC4_UPPER_AERODIGESTIVE_TRACT	6.5111943
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.555825309
HCC1187_BREAST	5.583432764
SNU387_LIVER	4.397798388
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.735519562
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.114321243
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.451624157
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.578153948
C2BBE1_LARGE_INTESTINE	5.62010122
SKES1_BONE	6.213600715
EPLC272H_LUNG	5.119954776
BXPC3_PANCREAS	5.208632524
NCIH1355_LUNG	4.905635081
SNU5_STOMACH	6.42695137
SNU475_LIVER	3.136761337
HEC251_ENDOMETRIUM	5.289076941
HCC95_LUNG	6.588574084
253J_URINARY_TRACT	5.750332742
HCC1438_LUNG	4.470992316
253JBV_URINARY_TRACT	6.840404433
RPMI7951_SKIN	3.636930126
SNU1066_UPPER_AERODIGESTIVE_TRACT	6.254933594
SNU1041_UPPER_AERODIGESTIVE_TRACT	6.309305229
HCC2108_LUNG	6.475436214
COLO783_SKIN	5.607130031
HCC1359_LUNG	6.285215372
BICR31_UPPER_AERODIGESTIVE_TRACT	6.883108901
COV362_OVARY	6.228541584
COLO792_SKIN	5.505489093
COV434_OVARY	6.170270913
WM983B_SKIN	4.81843112
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.124589443
LS513_LARGE_INTESTINE	6.556202215
NCIH2110_LUNG	5.025690604
CHAGOK1_LUNG	5.873065276
DMS454_LUNG	5.97600728
CORL47_LUNG	0.300382726
FTC238_THYROID	5.97378196
DMS273_LUNG	9.642028439
FTC133_THYROID	4.421574989
CORL311_LUNG	7.972865792
NCIH2286_LUNG	5.648471034
NCIH1339_LUNG	5.307693055
WM793_SKIN	3.624814639
A704_KIDNEY	5.453760193
MDAMB435S_SKIN	2.506423692
WM1799_SKIN	4.279620074
MEWO_SKIN	5.678934377
WM88_SKIN	3.446191929
NCIH2081_LUNG	7.290367368
HS255T_LARGE_INTESTINE	2.731891483
NCIH1092_LUNG	-0.680969212
SW837_LARGE_INTESTINE	5.272132975
JHH6_LIVER	6.07439074
IGR1_SKIN	4.783284435
NCIH1105_LUNG	0.038720768
NCIH1436_LUNG	3.024529808
NCIH1876_LUNG	1.997762233
CORL24_LUNG	0.893796443
COV644_OVARY	3.764357338
GP2D_LARGE_INTESTINE	6.886606144
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	5.595766483
CORL88_LUNG	1.390127356
CORL95_LUNG	0.149629915
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	4.539850186
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	6.7108285
CORL51_LUNG	
RT11284_URINARY_TRACT	
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	4.353830639
OV7_OVARY	5.767160725
HT55_LARGE_INTESTINE	6.677103447
OAW42_OVARY	4.952930318
MDST8_LARGE_INTESTINE	4.181071405
OAW28_OVARY	4.265872966
SUIT2_PANCREAS	6.075092765
LC1SQSF_LUNG	
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.889600324
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.244614404
SKHEP1_LIVER	6.086710778
OVCAR8_OVARY	5.501214349
NCIH2172_LUNG	4.919779338
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	4.263383832
NCIH596_LUNG	5.139457518
NCIH650_LUNG	6.034609745
SW1573_LUNG	5.51045718
OVMANA_OVARY	3.287190012
SKCO1_LARGE_INTESTINE	6.154833248
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.490161936
YAPC_PANCREAS	5.193041766
HT1197_URINARY_TRACT	4.738098859
